Epochs,Training Loss,Validation Loss
258.0,17106.98469258413,4668.81276435402
259.0,17106.984667593868,4668.8127578205895
260.0,17106.984642796,4668.812751337463
261.0,17106.98461818832,4668.81274490406
262.0,17106.98459376864,4668.812738519811
263.0,17106.98456953479,4668.812732184152
264.0,17106.984545484767,4668.812725896537
265.0,17106.984521616378,4668.81271965641
266.0,17106.98449792758,4668.812713463245
267.0,17106.98447441641,4668.812707316511
268.0,17106.98445108085,4668.8127012156865
269.0,17106.984427918935,4668.812695160265
270.0,17106.98440492873,4668.812689149731
271.0,17106.984382108323,4668.8126831836
272.0,17106.984359455906,4668.81267726137
273.0,17106.984336969548,4668.812671382564
274.0,17106.984314647463,4668.812665546707
275.0,17106.984292487894,4668.812659753333
276.0,17106.984270488996,4668.812654001967
277.0,17106.984248649067,4668.812648292166
278.0,17106.98422696641,4668.812642623483
279.0,17106.984205439294,4668.8126369954625
280.0,17106.984184066114,4668.8126314076835
281.0,17106.984162845176,4668.812625859702
282.0,17106.984141774843,4668.812620351103
283.0,17106.98412085353,4668.812614881467
284.0,17106.98410007971,4668.8126094503805
285.0,17106.98407945178,4668.812604057441
286.0,17106.984058968214,4668.812598702242
287.0,17106.984038627546,4668.812593384394
288.0,17106.984018428186,4668.812588103506
289.0,17106.983998368767,4668.812582859197
290.0,17106.983978447784,4668.812577651086
291.0,17106.983958663834,4668.812572478794
292.0,17106.98393901554,4668.812567341959
293.0,17106.98391950144,4668.8125622402185
294.0,17106.983900120194,4668.812557173212
295.0,17106.983880870474,4668.812552140581
296.0,17106.983861750876,4668.81254714199
297.0,17106.983842760168,4668.812542177082
298.0,17106.983823897015,4668.812537245524
299.0,17106.98380516017,4668.812532346979
300.0,17106.98378654829,4668.812527481119
301.0,17106.983768060174,4668.812522647615
302.0,17106.98374969463,4668.812517846146
303.0,17106.9837314504,4668.812513076394
304.0,17106.983713326306,4668.81250833805
305.0,17106.983695321134,4668.812503630802
306.0,17106.98367743369,4668.812498954341
307.0,17106.98365966295,4668.812494308375
308.0,17106.98364200765,4668.812489692598
309.0,17106.98362446672,4668.812485106722
310.0,17106.98360703904,4668.812480550451
311.0,17106.983589723553,4668.812476023513
312.0,17106.983572519137,4668.812471525606
313.0,17106.983555424737,4668.81246705647
314.0,17106.98353843927,4668.81246261582
315.0,17106.983521561786,4668.812458203388
316.0,17106.983504791213,4668.8124538188995
317.0,17106.983488126458,4668.8124494621
318.0,17106.983471566637,4668.8124451327185
319.0,17106.983455110763,4668.81244083051
320.0,17106.983438757743,4668.812436555205
321.0,17106.98342250672,4668.812432306555
322.0,17106.98340635672,4668.81242808432
323.0,17106.983390306807,4668.812423888246
324.0,17106.983374356012,4668.812419718099
325.0,17106.983358503443,4668.812415573627
326.0,17106.98334274822,4668.812411454607
327.0,17106.983327089456,4668.812407360791
328.0,17106.983311526234,4668.812403291962
329.0,17106.983296057693,4668.812399247886
330.0,17106.983280682955,4668.812395228334
331.0,17106.98326540118,4668.812391233093
332.0,17106.983250211575,4668.812387261939
333.0,17106.983235113214,4668.8123833146465
334.0,17106.98322010541,4668.812379391013
335.0,17106.98320518719,4668.812375490825
336.0,17106.983190357874,4668.812371613866
337.0,17106.98317561666,4668.812367759931
338.0,17106.983160962667,4668.812363928822
339.0,17106.98314639523,4668.812360120326
340.0,17106.983131913545,4668.812356334255
341.0,17106.983117516837,4668.812352570403
342.0,17106.983103204417,4668.812348828582
343.0,17106.98308897551,4668.812345108595
344.0,17106.983074829357,4668.812341410246
345.0,17106.98306076529,4668.81233773336
346.0,17106.983046782596,4668.812334077737
347.0,17106.98303288054,4668.812330443201
348.0,17106.98301905846,4668.812326829571
349.0,17106.983005315607,4668.812323236666
350.0,17106.982991651348,4668.812319664298
351.0,17106.98297806504,4668.812316112311
352.0,17106.982964555966,4668.812312580518
353.0,17106.98295112349,4668.812309068747
354.0,17106.98293776693,4668.812305576832
355.0,17106.982924485717,4668.8123021046
356.0,17106.98291127914,4668.812298651892
357.0,17106.98289814661,4668.812295218543
358.0,17106.982885087506,4668.812291804391
359.0,17106.98287210118,4668.8122884092645
360.0,17106.982859187076,4668.812285033024
361.0,17106.98284634457,4668.812281675495
362.0,17106.98283357306,4668.812278336526
363.0,17106.982820871977,4668.812275015972
364.0,17106.98280824073,4668.812271713677
365.0,17106.98279567872,4668.812268429488
366.0,17106.982783185453,4668.812265163253
367.0,17106.982770760274,4668.812261914834
368.0,17106.98275840267,4668.812258684087
369.0,17106.982746112095,4668.812255470855
370.0,17106.982733888035,4668.812252275008
371.0,17106.982721729888,4668.812249096402
372.0,17106.98270963719,4668.812245934895
373.0,17106.982697609328,4668.8122427903545
374.0,17106.982685645857,4668.81223966264
375.0,17106.98267374623,4668.812236551619
376.0,17106.982661909955,4668.812233457155
377.0,17106.982650136495,4668.8122303791215
378.0,17106.982638425372,4668.812227317388
379.0,17106.98262677612,4668.812224271816
380.0,17106.98261518823,4668.81222124229
381.0,17106.982603661163,4668.812218228672
382.0,17106.982592194498,4668.812215230853
383.0,17106.982580787775,4668.812212248688
384.0,17106.98256944049,4668.812209282071
385.0,17106.9825581522,4668.812206330877
386.0,17106.98254692245,4668.81220339498
387.0,17106.982535750736,4668.812200474267
388.0,17106.982524636696,4668.812197568626
389.0,17106.98251357981,4668.812194677929
390.0,17106.982502579674,4668.812191802067
391.0,17106.982491635816,4668.812188940922
392.0,17106.98248074785,4668.812186094389
393.0,17106.982469915336,4668.812183262353
394.0,17106.982459137867,4668.812180444702
395.0,17106.982448414943,4668.8121776413245
396.0,17106.982437746286,4668.812174852116
397.0,17106.982427131356,4668.812172076969
398.0,17106.982416569852,4668.81216931578
399.0,17106.982406061285,4668.812166568438
400.0,17106.98239560528,4668.812163834837
401.0,17106.982385201474,4668.812161114885
402.0,17106.982374849507,4668.812158408471
403.0,17106.982364548912,4668.812155715502
404.0,17106.982354299318,4668.812153035871
405.0,17106.982344100416,4668.8121503694765
406.0,17106.982333951782,4668.812147716231
407.0,17106.982323853063,4668.812145076031
408.0,17106.982313803845,4668.812142448786
409.0,17106.98230380381,4668.812139834391
410.0,17106.982293852612,4668.812137232759
411.0,17106.98228394981,4668.812134643793
412.0,17106.982274095197,4668.812132067407
413.0,17106.982264288272,4668.812129503506
414.0,17106.982254528775,4668.812126952002
415.0,17106.982244816347,4668.812124412795
416.0,17106.982235150652,4668.812121885805
417.0,17106.982225531345,4668.812119370946
418.0,17106.98221595806,4668.812116868126
419.0,17106.982206430548,4668.812114377262
420.0,17106.982196948386,4668.8121118982635
421.0,17106.982187511334,4668.812109431053
422.0,17106.98217811903,4668.81210697554
423.0,17106.98216877115,4668.8121045316475
424.0,17106.982159467396,4668.812102099288
425.0,17106.98215020747,4668.812099678385
426.0,17106.982140991026,4668.812097268852
427.0,17106.98213181779,4668.812094870611
428.0,17106.982122687456,4668.812092483588
429.0,17106.982113599675,4668.812090107698
430.0,17106.982104554252,4668.812087742866
431.0,17106.98209555077,4668.812085389017
432.0,17106.982086589018,4668.812083046069
433.0,17106.982077668687,4668.81208071395
434.0,17106.982068789508,4668.812078392586
435.0,17106.98205995117,4668.812076081908
436.0,17106.982051153376,4668.812073781829
437.0,17106.982042395877,4668.812071492286
438.0,17106.98203367844,4668.812069213204
439.0,17106.982025000703,4668.812066944512
440.0,17106.98201636243,4668.81206468613
441.0,17106.98200776337,4668.812062438005
442.0,17106.981999203246,4668.812060200058
443.0,17106.98199068178,4668.812057972221
444.0,17106.981982198733,4668.812055754423
445.0,17106.981973753846,4668.8120535466
446.0,17106.981965346833,4668.812051348689
447.0,17106.981956977477,4668.812049160614
448.0,17106.981948645476,4668.812046982312
449.0,17106.981940350644,4668.81204481372
450.0,17106.9819320927,4668.812042654774
451.0,17106.981923871364,4668.812040505409
452.0,17106.981915686483,4668.812038365556
453.0,17106.98190753773,4668.812036235158
454.0,17106.981899424904,4668.812034114152
455.0,17106.98189134772,4668.812032002475
456.0,17106.981883306034,4668.812029900062
457.0,17106.981875299552,4668.812027806858
458.0,17106.981867328028,4668.812025722804
459.0,17106.98185939131,4668.812023647833
460.0,17106.98185148909,4668.812021581888
461.0,17106.98184362118,4668.812019524909
462.0,17106.981835787312,4668.8120174768455
463.0,17106.981827987343,4668.812015437633
464.0,17106.98182022103,4668.812013407216
465.0,17106.98181248812,4668.812011385532
466.0,17106.98180478843,4668.812009372534
467.0,17106.98179712173,4668.812007368163
468.0,17106.981789487836,4668.812005372366
469.0,17106.981781886465,4668.812003385078
470.0,17106.98177431749,4668.812001406255
471.0,17106.981766780656,4668.811999435839
472.0,17106.981759275783,4668.8119974737765
473.0,17106.981751802687,4668.811995520019
474.0,17106.981744361103,4668.811993574505
475.0,17106.981736950882,4668.811991637195
476.0,17106.98172957183,4668.811989708024
477.0,17106.981722223736,4668.811987786948
478.0,17106.981714906393,4668.811985873916
479.0,17106.981707619638,4668.811983968877
480.0,17106.98170036325,4668.811982071777
481.0,17106.981693137055,4668.811980182572
482.0,17106.98168594086,4668.811978301206
483.0,17106.981678774508,4668.811976427642
484.0,17106.981671637754,4668.811974561825
485.0,17106.98166453045,4668.811972703701
486.0,17106.981657452397,4668.8119708532295
487.0,17106.98165040345,4668.81196901036
488.0,17106.981643383402,4668.811967175049
489.0,17106.98163639211,4668.811965347253
490.0,17106.981629429334,4668.811963526922
491.0,17106.98162249495,4668.811961714009
492.0,17106.981615588767,4668.811959908467
493.0,17106.98160871064,4668.811958110255
494.0,17106.981601860367,4668.811956319328
495.0,17106.981595037778,4668.811954535642
496.0,17106.981588242677,4668.811952759148
497.0,17106.981581474996,4668.811950989811
498.0,17106.981574734524,4668.811949227582
499.0,17106.981568021027,4668.811947472424
500.0,17106.981561334425,4668.81194572429
501.0,17106.98155467453,4668.811943983134
502.0,17106.98154804118,4668.811942248926
503.0,17106.981541434223,4668.811940521615
504.0,17106.981534853494,4668.811938801158
505.0,17106.981528298857,4668.811937087519
506.0,17106.981521770118,4668.811935380662
507.0,17106.98151526719,4668.811933680537
508.0,17106.981508789853,4668.811931987113
509.0,17106.981502337978,4668.811930300346
510.0,17106.98149591144,4668.8119286201945
511.0,17106.981489510028,4668.81192694663
512.0,17106.98148313367,4668.811925279599
513.0,17106.981476782177,4668.811923619076
