height_over_sea_level,fall,net,fall_1,flow,power_of_hydroelectrical_turbine
608,72.99,73.165,5.0,3178.81,2276129364.0389996
610,74.64,73.19,8.5,5267.49,3856953099.816
613,77.89,77.665,6.0,4157.42,3176688363.6780005
611,75.74,74.84,7.5,4980.6,3700632617.64
606,70.99,71.165,5.0,3079.6,2144670087.2399998
627,91.64,90.19,8.5,6756.95,6074419669.38
624,88.64,87.19,8.5,6514.44,5664686023.296
610,74.84,74.415,6.5,4324.04,3174625416.816
624,88.89,88.665,6.0,4739.22,4132651497.498
606,70.64,69.19,8.5,4095.41,2838030669.144
617,81.89,81.665,6.0,4374.66,3514343301.5940003
601,66.64,64.19,8.5,4244.6,2774858012.64
602,67.64,65.19,8.5,4437.82,2944708360.488
594,59.79,58.14,7.0,3336.76,1957142876.724
615,80.04,80.365,4.5,3087.19,2424038125.3560004
600,65.74,63.84,7.5,4029.39,2598591487.266
612,77.04,77.365,4.5,2972.79,2246722905.096
605,71.04,70.365,4.5,2684.37,1870743895.4880002
624,88.94,88.92,5.5,4304.41,3755603751.1740003
622,87.1,87.55,4.0,2900.22,2478095879.22
610,74.74,73.84,7.5,4907.97,3598520659.218
600,65.84,64.415,6.5,3594.32,2321536782.5280004
616,82.21,81.935,3.0,1918.87,1547530469.4869998
628,93.04,93.365,4.5,3526.71,3218907215.3040004
609,73.74,72.84,7.5,4811.86,3480848518.2839994
621,85.69,84.54,8.0,6022.18,5062358327.202001
616,80.89,80.665,6.0,4321.12,3428942242.608
608,73.1,73.55,4.0,2448.11,1755566610.21
598,64.1,63.55,4.0,2061.11,1296069251.31
624,88.59,86.84,9.0,6738.92,5856579052.668
629,93.99,94.165,5.0,4035.79,3721167479.601
621,85.94,85.92,5.5,4168.76,3514562329.464
618,82.99,83.165,5.0,3619.78,2946978368.9820004
608,72.89,72.665,6.0,3877.93,2772917336.6369996
592,58.04,57.365,4.5,2073.31,1180485490.6439998
600,65.89,64.665,6.0,3331.84,2153637737.856
596,62.1,61.55,4.0,1978.39,1205237166.39
622,86.69,85.54,8.0,6097.29,5185311627.681
598,63.99,63.165,5.0,2650.41,1663773409.179
611,77.21,76.935,3.0,1802.07,1364942060.307
613,77.79,77.14,7.0,4835.6,3690142588.4400005
614,78.59,76.84,9.0,5836.88,4500047116.152
617,81.99,82.165,5.0,3578.64,2878378524.2159996
608,72.84,72.415,6.5,4198.04,2999753141.616
603,68.69,66.54,8.0,4473.85,3014698901.265
626,91.1,91.55,4.0,3007.52,2687793556.3199997
598,64.16,63.765,3.5,1752.73,1103185088.208
615,79.79,79.14,7.0,4970.4,3890530398.9600005
603,69.16,68.765,3.5,1928.37,1308321138.852
627,91.99,92.165,5.0,3965.92,3578933061.6480002
619,83.59,81.84,9.0,6272.01,5143160468.979
607,72.04,72.365,4.5,2768.76,1956717024.6240003
618,83.16,83.765,3.5,2368.61,1932311090.556
630,94.64,93.19,8.5,6986.26,6486172331.184001
620,85.04,85.365,4.5,3297.39,2750822547.336
595,60.74,58.84,7.5,3517.58,2095983108.2519999
607,71.74,70.84,7.5,4681.39,3294619031.466
607,71.59,69.84,9.0,5044.92,3543036721.668
627,92.16,92.765,3.5,2565.78,2319695013.888
595,60.89,59.665,6.0,2997.65,1790588972.385
601,66.99,66.165,5.0,2824.88,1856431756.872
591,56.87,55.415,6.5,2902.4,1619233577.28
627,91.69,90.54,8.0,6460.56,5811137402.184
626,90.69,89.54,8.0,6389.89,5684886407.4210005
610,74.69,73.54,8.0,5091.79,3730799849.9309998
599,65.04,64.365,4.5,2405.69,1534932221.2560003
598,63.84,62.415,6.5,3446.41,2158384569.2640004
600,65.94,64.92,5.5,3050.81,1973481735.8339999
625,89.84,89.415,6.5,5208.36,4590286002.144
605,70.79,69.14,7.0,4241.34,2945398138.866
613,77.74,76.84,7.5,5136.98,3917611975.2119994
605,70.74,68.84,7.5,4445.09,3084711989.3459997
609,73.69,72.54,8.0,4989.41,3606839000.649
628,92.74,91.84,7.5,6171.51,5614712664.894
610,74.59,72.84,9.0,5414.45,3961904128.155
630,96.21,95.935,3.0,2111.73,1993093219.773
601,66.74,64.84,7.5,4110.86,2691459792.6839995
630,94.89,94.665,6.0,5017.36,4670514418.823999
612,76.94,76.92,5.5,3738.51,2821757811.714
607,72.1,72.55,4.0,2413.55,1707106328.55
612,76.64,75.19,8.5,5436.88,4087655160.1920004
604,69.74,67.84,7.5,4355.92,2980100054.448
606,71.16,71.765,3.5,2024.51,1413269130.996
596,61.84,60.415,6.5,3300.12,2002019118.048
624,88.69,87.54,8.0,6245.18,5433611989.302
624,88.74,87.84,7.5,5909.73,5144652808.3619995
614,79.1,79.55,4.0,2654.46,2059783980.66
609,74.1,74.55,4.0,2484.96,1806369608.16
596,61.74,59.84,7.5,3672.29,2224193680.926
616,80.69,79.54,8.0,5621.0,4449408786.9
628,94.21,93.935,3.0,2107.66,1947899582.7659996
619,83.94,83.92,5.5,4078.4,3358364189.7599998
629,93.89,93.665,6.0,4977.84,4584893790.456
625,89.79,89.14,7.0,5611.23,4942595272.077
619,83.64,82.19,8.5,6094.87,5000892031.908
596,61.99,61.165,5.0,2545.24,1547816184.756
596,61.89,60.665,6.0,3063.55,1860006504.195
612,77.1,77.55,4.0,2588.19,1957580094.69
600,65.79,64.14,7.0,3819.82,2465311446.0180006
609,73.84,73.415,6.5,4260.53,3086201820.312
602,67.79,66.14,7.0,3979.15,2646213935.085
623,87.89,87.665,6.0,4687.82,4041842623.0379996
609,73.99,74.165,5.0,3226.05,2341602261.495
596,62.16,61.765,3.5,1683.63,1026660064.248
616,80.59,78.84,9.0,6011.02,4752239678.658
593,58.99,58.165,5.0,2384.41,1379838753.2789998
605,70.59,67.84,9.0,4720.58,3268944530.982
630,94.94,94.92,5.5,4547.82,4235664002.1479993
629,95.21,94.935,3.0,2110.13,1970882732.313
627,93.21,92.935,3.0,2099.1,1919396258.9099998
625,90.1,90.55,4.0,2983.61,2637156190.41
603,68.99,68.165,5.0,2928.11,1981721130.309
626,91.16,91.765,3.5,2553.33,2283390931.068
606,70.84,70.415,6.5,4071.73,2829609674.8919997
623,88.1,88.55,4.0,2927.26,2529916654.86
594,60.1,59.55,4.0,1891.3,1115074545.3
614,79.16,79.765,3.5,2261.61,1756274956.956
601,67.16,66.765,3.5,1860.57,1225817194.5719998
609,74.04,74.365,4.5,2864.24,2080390313.3760002
613,77.64,76.19,8.5,5529.53,4211557677.252
607,71.79,71.14,7.0,4422.22,3114392214.9780006
604,69.69,67.54,8.0,4555.88,3114667909.3320003
592,57.89,56.665,6.0,2792.27,1585732646.043
606,70.59,68.84,9.0,4905.55,3397034017.8450003
594,59.74,57.84,7.5,3347.5,1961800366.5
603,68.74,66.84,7.5,4272.72,2881263441.168
610,74.79,74.14,7.0,4634.29,3400131766.671
612,78.21,77.935,3.0,1826.08,1401041801.8079998
613,78.1,78.55,4.0,2620.27,2007548683.4699998
621,87.21,86.935,3.0,2015.06,1723944483.3059998
624,89.04,89.365,4.5,3401.42,2971080505.0080004
611,75.79,75.14,7.0,4701.28,3495401209.872
602,68.1,67.55,4.0,2221.16,1483870370.7599998
614,80.21,79.935,3.0,1874.52,1474984994.6519997
624,88.99,89.165,5.0,3854.35,3364816329.765
602,67.94,66.92,5.5,3177.33,2117663119.962
615,80.16,80.765,3.5,2290.13,1800888612.048
608,73.04,73.365,4.5,2810.69,2013922344.4560003
628,92.64,91.19,8.5,6831.87,6208792525.007999
621,85.89,85.665,6.0,4584.38,3862711026.3420005
618,82.64,81.19,8.5,6012.87,4874624088.408
628,92.89,92.665,6.0,4932.18,4494453463.962001
604,69.84,68.415,6.5,3914.74,2682107382.096
624,90.21,89.935,3.0,2055.25,1818814245.5249999
608,72.64,71.19,8.5,5099.53,3633916918.752
597,62.84,61.415,6.5,3372.41,2078957217.564
610,74.89,74.665,6.0,3990.55,2931740959.995
605,70.94,69.92,5.5,3362.14,2339785175.796
606,70.74,69.84,7.5,4535.03,3147126697.7819996
629,94.1,94.55,4.0,3076.49,2839972525.2899995
618,82.89,82.665,6.0,4428.65,3601160733.285
606,72.21,71.935,3.0,1675.16,1186650008.316
629,93.69,92.54,8.0,6604.63,6070308167.907001
604,70.1,69.55,4.0,2299.16,1581088647.9599998
616,80.99,81.165,5.0,3537.4,2810506395.06
622,87.04,87.365,4.5,3335.45,2848015342.0800004
629,93.59,91.84,9.0,7255.22,6661147350.438001
625,89.64,88.19,8.5,6601.37,5805036174.707999
618,84.21,83.935,3.0,1957.51,1617099206.751
597,62.69,60.54,8.0,3755.61,2309658462.729
607,71.84,71.415,6.5,4135.26,2914326139.104
609,73.64,72.19,8.5,5183.31,3744466683.804
615,80.1,80.55,4.0,2686.52,2111016372.12
616,80.64,79.19,8.5,5823.6,4606924170.24
605,70.84,69.415,6.5,3998.5,2778719189.4
618,82.94,82.92,5.5,4029.4,3278486657.16
621,85.99,86.165,5.0,3737.94,3153183768.4859996
613,78.04,78.365,4.5,3012.15,2306018904.6600003
597,62.99,62.165,5.0,2597.17,1604874192.723
