Epochs,Training Loss,Validation Loss
256.0,257209.07647836697,64101.30164295877
257.0,257209.07645318212,64101.30163657169
258.0,257209.07642819206,64101.30163023404
259.0,257209.0764033951,64101.301623945335
260.0,257209.07637878833,64101.301617704994
261.0,257209.0763543706,64101.3016115124
262.0,257209.0763301389,64101.30160536712
263.0,257209.07630609133,64101.30159926848
264.0,257209.0762822259,64101.30159321604
265.0,257209.0762585405,64101.30158720928
266.0,257209.0762350332,64101.30158124766
267.0,257209.076211702,64101.30157533066
268.0,257209.07618854448,64101.30156945778
269.0,257209.07616555927,64101.30156362857
270.0,257209.07614274422,64101.30155784248
271.0,257209.07612009725,64101.30155209914
272.0,257209.076097617,64101.30154639793
273.0,257209.07607530136,64101.30154073848
274.0,257209.07605314846,64101.30153512036
275.0,257209.0760311564,64101.30152954306
276.0,257209.07600932382,64101.30152400617
277.0,257209.07598764883,64101.301518509215
278.0,257209.07596612955,64101.30151305178
279.0,257209.07594476442,64101.30150763346
280.0,257209.07592355213,64101.301502253824
281.0,257209.07590249038,64101.301496912456
282.0,257209.0758815779,64101.301491608945
283.0,257209.0758608137,64101.30148634289
284.0,257209.0758401951,64101.301481113944
285.0,257209.07581972098,64101.30147592164
286.0,257209.07579939035,64101.30147076562
287.0,257209.07577920126,64101.30146564552
288.0,257209.07575915233,64101.30146056098
289.0,257209.0757392425,64101.301455511595
290.0,257209.07571946914,64101.30145049703
291.0,257209.07569983182,64101.30144551686
292.0,257209.07568032923,64101.30144057083
293.0,257209.0756609594,64101.301435658526
294.0,257209.07564172105,64101.301430779626
295.0,257209.07562261375,64101.301425933816
296.0,257209.075603635,64101.301421120654
297.0,257209.07558478412,64101.301416340015
298.0,257209.07556605974,64101.301411591325
299.0,257209.07554746058,64101.301406874416
300.0,257209.07552898544,64101.30140218895
301.0,257209.07551063265,64101.3013975346
302.0,257209.07549240164,64101.30139291106
303.0,257209.07547429064,64101.30138831803
304.0,257209.07545629883,64101.30138375521
305.0,257209.07543842494,64101.301379222255
306.0,257209.075420668,64101.301374718954
307.0,257209.07540302654,64101.30137024497
308.0,257209.07538549957,64101.301365800005
309.0,257209.07536808602,64101.30136138378
310.0,257209.07535078458,64101.30135699607
311.0,257209.07533359443,64101.30135263654
312.0,257209.07531651456,64101.30134830494
313.0,257209.0752995438,64101.30134400103
314.0,257209.07528268095,64101.30133972449
315.0,257209.0752659252,64101.301335475124
316.0,257209.0752492753,64101.3013312526
317.0,257209.0752327307,64101.301327056724
318.0,257209.07521628978,64101.301322887215
319.0,257209.07519995168,64101.30131874385
320.0,257209.07518371625,64101.30131462638
321.0,257209.07516758156,64101.30131053451
322.0,257209.07515154712,64101.30130646804
323.0,257209.075135612,64101.301302426786
324.0,257209.0751197752,64101.30129841043
325.0,257209.07510403558,64101.30129441882
326.0,257209.07508839277,64101.30129045163
327.0,257209.07507284527,64101.30128650873
328.0,257209.07505739262,64101.301282589826
329.0,257209.0750420341,64101.30127869476
330.0,257209.07502676826,64101.30127482327
331.0,257209.07501159472,64101.30127097517
332.0,257209.0749965127,64101.30126715026
333.0,257209.0749815212,64101.30126334829
334.0,257209.07496661937,64101.301259569096
335.0,257209.0749518063,64101.3012558124
336.0,257209.0749370816,64101.301252078105
337.0,257209.07492244407,64101.30124836597
338.0,257209.07490789317,64101.30124467574
339.0,257209.07489342833,64101.301241007306
340.0,257209.0748790483,64101.30123736043
341.0,257209.07486475256,64101.30123373494
342.0,257209.07485054008,64101.301230130615
343.0,257209.07483641096,64101.301226547315
344.0,257209.07482236388,64101.301222984854
345.0,257209.0748083979,64101.30121944301
346.0,257209.07479451312,64101.30121592166
347.0,257209.07478070742,64101.30121242057
348.0,257209.07476698153,64101.30120893956
349.0,257209.07475333457,64101.30120547853
350.0,257209.07473976494,64101.301202037284
351.0,257209.07472627328,64101.301198615605
352.0,257209.07471285792,64101.30119521338
353.0,257209.07469951818,64101.30119183039
354.0,257209.07468625426,64101.30118846654
355.0,257209.07467306487,64101.3011851216
356.0,257209.0746599494,64101.30118179546
357.0,257209.0746469074,64101.30117848792
358.0,257209.07463393817,64101.3011751989
359.0,257209.0746210417,64101.30117192818
360.0,257209.07460821638,64101.30116867558
361.0,257209.074595462,64101.30116544106
362.0,257209.0745827784,64101.30116222435
363.0,257209.07457016397,64101.30115902536
364.0,257209.07455761975,64101.30115584393
365.0,257209.07454514352,64101.301152679946
366.0,257209.07453273592,64101.30114953324
367.0,257209.0745203957,64101.30114640365
368.0,257209.07450812214,64101.301143291086
369.0,257209.07449591582,64101.301140195385
370.0,257209.07448377478,64101.30113711642
371.0,257209.0744716995,64101.301134054
372.0,257209.07445968894,64101.30113100805
373.0,257209.07444774307,64101.301127978426
374.0,257209.07443586076,64101.30112496502
375.0,257209.07442404176,64101.301121967655
376.0,257209.07441228564,64101.30111898624
377.0,257209.07440059207,64101.30111602063
378.0,257209.07438896009,64101.3011130707
379.0,257209.07437738954,64101.3011101363
380.0,257209.0743658798,64101.30110721741
381.0,257209.0743544307,64101.301104313774
382.0,257209.07434304143,64101.301101425335
383.0,257209.07433171137,64101.30109855201
384.0,257209.07432044027,64101.3010956936
385.0,257209.07430922793,64101.30109285006
386.0,257209.07429807336,64101.30109002123
387.0,257209.0742869767,64101.30108720704
388.0,257209.0742759373,64101.30108440731
389.0,257209.07426495446,64101.30108162198
390.0,257209.07425402768,64101.301078850964
391.0,257209.07424315717,64101.301076094074
392.0,257209.07423234193,64101.30107335125
393.0,257209.0742215817,64101.30107062237
394.0,257209.074210876,64101.30106790738
395.0,257209.07420022442,64101.30106520607
396.0,257209.07418962682,64101.30106251842
397.0,257209.07417908267,64101.30105984433
398.0,257209.07416859124,64101.30105718364
399.0,257209.0741581525,64101.30105453626
400.0,257209.0741477657,64101.30105190219
401.0,257209.0741374309,64101.30104928117
402.0,257209.0741271477,64101.301046673216
403.0,257209.07411691512,64101.30104407821
404.0,257209.07410673337,64101.30104149602
405.0,257209.0740966017,64101.3010389266
406.0,257209.0740865199,64101.30103636979
407.0,257209.07407648765,64101.301033825584
408.0,257209.07406650484,64101.301031293784
409.0,257209.07405657062,64101.301028774426
410.0,257209.07404668498,64101.301026267334
411.0,257209.0740368472,64101.30102377241
412.0,257209.07402705727,64101.30102128961
413.0,257209.07401731465,64101.301018818805
414.0,257209.07400761914,64101.30101635997
415.0,257209.0739979702,64101.30101391298
416.0,257209.07398836777,64101.30101147774
417.0,257209.07397881136,64101.30100905412
418.0,257209.07396930075,64101.301006642156
419.0,257209.07395983537,64101.301004241664
420.0,257209.073950415,64101.301001852626
421.0,257209.07394103947,64101.30099947489
422.0,257209.07393170832,64101.30099710846
423.0,257209.0739224207,64101.30099475324
424.0,257209.07391317785,64101.300992409015
425.0,257209.0739039781,64101.30099007589
426.0,257209.0738948215,64101.300987753726
427.0,257209.07388570768,64101.300985442394
428.0,257209.0738766366,64101.3009831419
429.0,257209.07386760743,64101.30098085209
430.0,257209.07385862063,64101.3009785729
431.0,257209.07384967525,64101.300976304345
432.0,257209.07384077148,64101.30097404628
433.0,257209.0738319086,64101.300971798606
434.0,257209.07382308683,64101.30096956131
435.0,257209.07381430554,64101.3009673343
436.0,257209.07380556423,64101.30096511748
437.0,257209.07379686306,64101.30096291079
438.0,257209.07378820132,64101.30096071418
439.0,257209.07377957966,64101.30095852761
440.0,257209.073770997,64101.30095635094
441.0,257209.07376245304,64101.300954184146
442.0,257209.07375394728,64101.30095202714
443.0,257209.07374548074,64101.30094987987
444.0,257209.07373705183,64101.300947742275
445.0,257209.073728661,64101.300945614275
446.0,257209.07372030756,64101.30094349584
447.0,257209.07371199163,64101.30094138686
448.0,257209.073703713,64101.30093928727
449.0,257209.0736954709,64101.30093719704
450.0,257209.07368726583,64101.30093511611
451.0,257209.0736790968,64101.300933044404
452.0,257209.0736709637,64101.30093098184
453.0,257209.07366286652,64101.30092892841
454.0,257209.0736548054,64101.30092688397
455.0,257209.07364677952,64101.30092484854
456.0,257209.07363878857,64101.30092282205
457.0,257209.0736308328,64101.30092080443
458.0,257209.07362291176,64101.3009187956
459.0,257209.0736150254,64101.30091679549
460.0,257209.07360717308,64101.30091480414
461.0,257209.07359935486,64101.30091282133
462.0,257209.07359157046,64101.30091084717
463.0,257209.07358381967,64101.30090888151
464.0,257209.07357610238,64101.30090692435
465.0,257209.07356841804,64101.300904975586
466.0,257209.0735607669,64101.300903035146
467.0,257209.0735531483,64101.300901103044
468.0,257209.07354556237,64101.30089917916
469.0,257209.0735380088,64101.30089726355
470.0,257209.07353048702,64101.30089535604
471.0,257209.0735229977,64101.300893456646
472.0,257209.07351553967,64101.300891565304
473.0,257209.07350811354,64101.3008896819
474.0,257209.0735007185,64101.30088780647
475.0,257209.07349335466,64101.30088593897
476.0,257209.07348602175,64101.30088407922
477.0,257209.0734787194,64101.30088222733
478.0,257209.07347144734,64101.30088038321
479.0,257209.07346420622,64101.30087854673
480.0,257209.07345699525,64101.30087671792
481.0,257209.0734498139,64101.30087489675
482.0,257209.07344266228,64101.300873083084
483.0,257209.07343554054,64101.300871276915
484.0,257209.07342844814,64101.30086947821
485.0,257209.07342138482,64101.300867686936
486.0,257209.07341435077,64101.30086590307
487.0,257209.07340734542,64101.30086412648
488.0,257209.073400369,64101.30086235719
489.0,257209.07339342104,64101.300860595074
490.0,257209.07338650132,64101.30085884019
491.0,257209.07337960994,64101.30085709245
492.0,257209.0733727463,64101.300855351816
493.0,257209.07336591065,64101.30085361823
494.0,257209.07335910256,64101.30085189168
495.0,257209.07335232216,64101.30085017209
496.0,257209.0733455688,64101.30084845942
497.0,257209.07333884286,64101.30084675364
498.0,257209.0733321437,64101.300845054735
499.0,257209.07332547137,64101.300843362595
500.0,257209.07331882577,64101.30084167728
501.0,257209.07331220686,64101.30083999862
502.0,257209.07330561426,64101.300838326664
503.0,257209.0732990479,64101.30083666139
504.0,257209.07329250747,64101.30083500268
505.0,257209.07328599298,64101.30083335056
506.0,257209.073279504,64101.3008317049
507.0,257209.07327304067,64101.30083006584
508.0,257209.07326660305,64101.300828433166
509.0,257209.07326019072,64101.300826806924
510.0,257209.0732538032,64101.30082518705
511.0,257209.07324744083,64101.30082357351
512.0,257209.07324110315,64101.30082196628
513.0,257209.07323479053,64101.30082036528
514.0,257209.0732285023,64101.30081877056
515.0,257209.0732222384,64101.300817181975
516.0,257209.07321599868,64101.30081559955
517.0,257209.07320978332,64101.3008140233
518.0,257209.07320359154,64101.30081245306
519.0,257209.073197424,64101.30081088894
520.0,257209.07319128016,64101.30080933079
521.0,257209.07318515997,64101.300807778636
522.0,257209.073179063,64101.30080623241
523.0,257209.07317298945,64101.300804692124
524.0,257209.07316693905,64101.30080315769
525.0,257209.07316091147,64101.300801629084
526.0,257209.07315490698,64101.30080010631
527.0,257209.07314892564,64101.300798589284
528.0,257209.07314296617,64101.30079707802
529.0,257209.07313702954,64101.30079557247
530.0,257209.07313111544,64101.3007940726
531.0,257209.07312522386,64101.300792578404
532.0,257209.07311935376,64101.30079108978
533.0,257209.07311350608,64101.30078960676
534.0,257209.0731076802,64101.3007881293
535.0,257209.07310187636,64101.30078665731
536.0,257209.07309609363,64101.30078519084
537.0,257209.0730903329,64101.30078372982
538.0,257209.07308459337,64101.30078227422
539.0,257209.07307887514,64101.30078082408
540.0,257209.07307317812,64101.300779379264
541.0,257209.07306750215,64101.30077793983
542.0,257209.07306184666,64101.30077650567
543.0,257209.07305621295,64101.30077507679
544.0,257209.07305059923,64101.300773653136
545.0,257209.07304500637,64101.30077223475
546.0,257209.07303943392,64101.30077082151
547.0,257209.073033882,64101.30076941344
548.0,257209.07302834984,64101.30076801054
549.0,257209.07302283833,64101.300766612745
550.0,257209.07301734685,64101.30076521999
551.0,257209.0730118748,64101.30076383233
552.0,257209.07300642293,64101.3007624497
553.0,257209.07300099093,64101.300761071994
554.0,257209.0729955781,64101.30075969935
555.0,257209.07299018512,64101.30075833162
556.0,257209.07298481124,64101.30075696884
557.0,257209.0729794568,64101.3007556109
558.0,257209.07297412137,64101.30075425783
559.0,257209.07296880512,64101.30075290961
560.0,257209.072963508,64101.30075156619
561.0,257209.0729582298,64101.30075022755
562.0,257209.07295297008,64101.3007488937
563.0,257209.07294772923,64101.30074756457
564.0,257209.07294250702,64101.30074624018
565.0,257209.07293730308,64101.300744920445
566.0,257209.07293211782,64101.30074360536
567.0,257209.07292695058,64101.30074229496
568.0,257209.0729218015,64101.300740989136
569.0,257209.0729166708,64101.300739687926
570.0,257209.07291155797,64101.300738391255
571.0,257209.07290646282,64101.3007370991
572.0,257209.0729013857,64101.300735811485
573.0,257209.07289632605,64101.30073452838
574.0,257209.07289128454,64101.30073324973
575.0,257209.07288625973,64101.300731975534
576.0,257209.07288125283,64101.30073070575
577.0,257209.07287626356,64101.30072944037
578.0,257209.0728712912,64101.30072817936
579.0,257209.072866336,64101.3007269227
580.0,257209.07286139796,64101.300725670415
581.0,257209.07285647714,64101.30072442236
582.0,257209.07285157306,64101.30072317863
583.0,257209.07284668554,64101.30072193919
584.0,257209.07284181486,64101.30072070401
585.0,257209.07283696122,64101.300719472994
586.0,257209.07283212375,64101.300718246166
587.0,257209.07282730268,64101.30071702355
588.0,257209.0728224982,64101.300715805104
589.0,257209.0728177101,64101.30071459079
590.0,257209.07281293804,64101.30071338057
591.0,257209.0728081821,64101.30071217444
592.0,257209.07280344205,64101.30071097242
593.0,257209.07279871867,64101.300709774405
594.0,257209.07279401048,64101.30070858045
595.0,257209.0727893183,64101.30070739048
596.0,257209.07278464202,64101.30070620452
597.0,257209.0727799813,64101.300705022535
598.0,257209.07277533613,64101.300703844514
599.0,257209.07277070647,64101.30070267041
600.0,257209.0727660924,64101.3007015002
601.0,257209.07276149376,64101.30070033392
602.0,257209.07275691009,64101.300699171494
603.0,257209.0727523416,64101.30069801292
604.0,257209.07274778828,64101.30069685819
605.0,257209.07274325017,64101.300695707265
606.0,257209.07273872697,64101.30069456013
607.0,257209.07273421832,64101.30069341677
608.0,257209.07272972507,64101.30069227719
609.0,257209.07272524608,64101.30069114133
610.0,257209.07272078196,64101.300690009215
611.0,257209.07271633256,64101.30068888079
612.0,257209.07271189764,64101.300687756026
613.0,257209.072707477,64101.300686634975
614.0,257209.0727030708,64101.300685517584
615.0,257209.07269867917,64101.30068440375
616.0,257209.07269430187,64101.3006832936
617.0,257209.0726899384,64101.300682186986
618.0,257209.07268558902,64101.300681084045
619.0,257209.0726812539,64101.30067998456
620.0,257209.07267693273,64101.30067888867
621.0,257209.0726726253,64101.300677796346
622.0,257209.07266833185,64101.30067670747
623.0,257209.07266405225,64101.30067562212
624.0,257209.0726597866,64101.30067454025
625.0,257209.07265553396,64101.30067346182
626.0,257209.07265129546,64101.30067238685
627.0,257209.07264707008,64101.30067131531
628.0,257209.07264285837,64101.30067024716
629.0,257209.07263865988,64101.300669182456
630.0,257209.07263447446,64101.300668121046
631.0,257209.07263030298,64101.300667063086
632.0,257209.0726261442,64101.30066600841
633.0,257209.07262199896,64101.30066495707
634.0,257209.07261786642,64101.300663909075
635.0,257209.07261374692,64101.300662864385
636.0,257209.07260964045,64101.30066182294
637.0,257209.072605547,64101.30066078478
638.0,257209.07260146635,64101.30065974988
639.0,257209.07259739834,64101.300658718224
640.0,257209.07259334298,64101.300657689746
641.0,257209.07258930037,64101.30065666452
642.0,257209.07258527048,64101.30065564248
643.0,257209.07258125307,64101.300654623614
644.0,257209.07257724763,64101.300653607934
645.0,257209.0725732552,64101.30065259536
646.0,257209.07256927472,64101.30065158593
647.0,257209.07256530688,64101.300650579666
648.0,257209.07256135117,64101.30064957645
649.0,257209.07255740787,64101.300648576296
650.0,257209.07255347623,64101.300647579286
651.0,257209.0725495569,64101.30064658531
652.0,257209.07254564948,64101.30064559444
653.0,257209.07254175426,64101.30064460651
654.0,257209.07253787087,64101.30064362166
655.0,257209.0725339994,64101.30064263976
656.0,257209.07253013938,64101.30064166092
657.0,257209.07252629145,64101.30064068501
658.0,257209.07252245516,64101.30063971208
659.0,257209.07251863013,64101.3006387421
660.0,257209.07251481691,64101.300637775064
661.0,257209.0725110156,64101.30063681095
662.0,257209.07250722562,64101.30063584974
663.0,257209.07250344695,64101.30063489143
664.0,257209.07249967923,64101.30063393602
665.0,257209.0724959232,64101.30063298348
666.0,257209.07249217865,64101.300632033766
667.0,257209.07248844518,64101.30063108693
668.0,257209.0724847228,64101.30063014292
669.0,257209.07248101168,64101.30062920175
670.0,257209.07247731145,64101.30062826334
671.0,257209.07247362222,64101.30062732778
672.0,257209.07246994422,64101.30062639498
673.0,257209.07246627685,64101.30062546494
674.0,257209.07246262088,64101.30062453766
675.0,257209.07245897493,64101.300623613155
676.0,257209.07245534036,64101.300622691364
677.0,257209.07245171643,64101.300621772265
678.0,257209.07244810293,64101.30062085589
679.0,257209.0724445004,64101.30061994225
680.0,257209.07244090844,64101.300619031266
681.0,257209.07243732683,64101.30061812301
682.0,257209.07243375585,64101.30061721737
683.0,257209.0724301953,64101.300616314344
684.0,257209.07242664517,64101.30061541403
685.0,257209.07242310533,64101.300614516294
686.0,257209.07241957565,64101.30061362119
687.0,257209.07241605668,64101.30061272868
688.0,257209.07241254745,64101.30061183878
689.0,257209.07240904888,64101.30061095144
690.0,257209.07240555962,64101.30061006668
691.0,257209.07240208154,64101.300609184495
692.0,257209.07239861297,64101.300608304875
693.0,257209.07239515422,64101.30060742772
694.0,257209.0723917058,64101.300606553166
695.0,257209.07238826703,64101.3006056811
696.0,257209.0723848383,64101.30060481152
697.0,257209.0723814195,64101.300603944466
698.0,257209.07237801014,64101.30060307987
